feature,importance
roll_mean_4,0.7485861575171746
lag_1,0.17742260232122797
lag_4,0.030893937803188606
diff_1,0.01928656595759548
lag_2,0.00848721225082397
roll_mean_8,0.004035435026095886
lag_3,0.0030904948019207542
weekofyear,0.0009635826766973979
Dept,0.0008914288579590984
roll_std_4,0.0008767225043047423
roll_mean_12,0.0007496453848705901
week_cos,0.00039565216841228626
Unemployment,0.00038959258493681455
CPI,0.00038022908999972116
roll_std_8,0.00037701201414501657
MarkDown4,0.0003667162067912175
MarkDown3,0.0003279432568656039
Temperature,0.000317386819626443
MarkDown1,0.00028122259140118266
Fuel_Price,0.00027135751175145833
roll_std_12,0.0002670826389627773
MarkDown5,0.00024644213215936655
week_sin,0.00020792922710587025
MarkDown2,0.00020070277654225875
month,0.00017109350633306595
Size,0.00014121492398176682
IsHoliday,7.890735702845593e-05
Store,7.773852801586938e-05
Type_A,5.73498197978842e-05
Type_C,4.315812282599041e-05
year,4.2860877841283706e-05
Type_B,4.2570850921511917e-05
is_month_end,2.0178173430875823e-05
is_month_start,1.1873719264111297e-05
dayofweek,0.0
