feature,importance
lag_1,0.5240998268127441
roll_mean_4,0.2748529314994812
IsHoliday,0.037503309547901154
lag_2,0.03180127963423729
diff_1,0.025309817865490913
roll_mean_8,0.01721332035958767
Type_A,0.013185338117182255
lag_4,0.011929103173315525
month,0.009393595159053802
Type_B,0.007885495200753212
weekofyear,0.007132302038371563
is_month_end,0.00463955057784915
roll_mean_12,0.004545259289443493
Dept,0.003908163867890835
week_cos,0.003658581990748644
year,0.0034251126926392317
MarkDown3,0.002646456705406308
week_sin,0.002331850351765752
Size,0.0020288173109292984
roll_std_4,0.0016198656521737576
roll_std_8,0.0014285792130976915
Unemployment,0.001318705384619534
Type_C,0.001130133168771863
lag_3,0.0010021826019510627
roll_std_12,0.0009567386005073786
CPI,0.0007364765042439103
MarkDown1,0.0006716027855873108
MarkDown4,0.0006122770137153566
Store,0.0005944081931374967
MarkDown2,0.0005840114899910986
MarkDown5,0.0005677290610037744
Temperature,0.0004585387359838933
Fuel_Price,0.0004429440014064312
is_month_start,0.00038579359534196556
dayofweek,0.0
